enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
23603,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,Other,Other,1,0.20478930380414473
22499,city_45,0.89,Other,Has relevent experience,Full time course,High School,Other,6,50-99,Pvt Ltd,1,-0.49552536795036556
10465,city_149,0.6890000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,5,Other,Other,never,-0.5288736856529613
8293,city_67,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Pvt Ltd,1,1.388654582246293
4246,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,2,-0.9790759746380037
29306,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Other,2,-0.8623568626789186
23118,city_128,0.527,Male,No relevent experience,Full time course,High School,Other,<1,Other,Other,never,-1.062446768894493
32832,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,1,-0.7456377507198335
13380,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,1,-0.7456377507198335
16102,city_11,0.55,Other,Has relevent experience,Full time course,Graduate,STEM,3,Other,Other,1,-0.41215457369387626
21761,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Public Sector,1,0.1214185095476554
26112,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,1.2886096291385059
24468,city_94,0.698,Other,No relevent experience,no_enrollment,Graduate,STEM,2,Other,Other,1,-0.5788961622068549
27200,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,Other,Other,1,2.906003037714399
14341,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,-0.6956152741659399
31993,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Arts,16,Other,Other,>4,-0.5121995268016635
6811,city_145,0.555,Other,No relevent experience,no_enrollment,Graduate,Business Degree,<1,Other,Other,never,-0.6789411153146421
8854,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Other,Other,1,-0.5121995268016635
